,Author last name,Author first name,birth_year,cave_canem_indicator,region,City of birth,State,Country,Childhood note,Community college or university,Graduate,Iowa,public_private_indicator,Ivy,HBCU,Poem Title,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism,undergrad_study_indicator,graduate_study_indicator,poet_full_name
31,Nelson ,Marilyn,1946.0,0,Other,Cleveland ,Ohio,USA,grew up on military bases ,University of California-Davis,"M.A. University of Pennsylvania, PhD University of Minnesota ",0,0,1,0,Thompson and Seaman Vows African Union Church_Wobj.mat,148.21031230000003,2.291652669,4.132796698,0.991115895,1.1417987840000001,99,0.771328399,0.296727698,0.38469697,6.048351443,13.42667206,2.795936044,7.3832215979999996,-367.99321410000005,567.2212376,3.119792665,1,1,Nelson  Marilyn
32,Philip ,M. NourbeSe,1947.0,0,Caribbean,"Woodlands, Moriah",,Trinidad and Tobago,,University of the West Indies,University of Western Ontario (political science and law),0,0,0,0,Discourse on the Logic of Language_Wobj.mat,158.2435153,1.604339388,3.155234529,0.782952712,0.868222739,361,0.881132536,0.303490359,0.344432133,6.772655055,13.251528599999999,2.529785859,7.092019508,-179.7198541,165.669503,2.585042769,1,1,Philip  M. NourbeSe
33,Jackson  ,Angela,1951.0,0,Midwest,Greenville ,Mississippi,USA,"grew up in Chicago, Illinois",,,0,0,0,0,Crowning_Wobj.mat,111.9278868,2.12498977,3.524330623,0.5456280029999999,0.660315181,125,0.616933593,0.23779088399999998,0.38544,4.759198523,12.19297648,2.795084847,6.915760341,-336.3058118,530.9836553,2.482273486,0,0,Jackson   Angela
34,Jones,Patricia Spears,1951.0,0,South,Forrest City ,Arkansas ,USA,,Rhodes College,Vermont College of Fine Arts (MFA),0,1,0,0,Kara Walker Draws the Blues_Wobj.mat,158.2789631,1.8749936390000002,3.112431592,0.8994039559999999,1.1593422420000001,104,1.195745904,0.384535786,0.32158653800000003,8.907286039,16.15652994,3.239013105,4.1639855489999995,211.5019708,202.28381519999996,2.90627894,1,1,Jones Patricia Spears
35,Jones,Patricia Spears,1951.0,0,South,Forrest City ,Arkansas ,USA,,,,0,0,0,0,Lave_Wobj.mat,151.30970119999998,1.9793242009999998,3.317454262,0.890336054,0.8649572090000001,486,1.273484789,0.386893064,0.303806584,9.18023679,13.50663845,3.1663316710000005,9.900456177999999,178.9304607,188.2913712,2.8470320730000003,0,0,Jones Patricia Spears
36,Dove,Rita,1952.0,0,Midwest,Akron,Ohio,USA,,Miami University of Ohio,University of Iowa (MFA),1,0,0,0,American Smooth_Wobj.mat,200.6324731,1.4559322469999998,3.882351917,1.158589933,1.252893633,64,0.787886249,0.2742829,0.348125,6.198853773,13.53758797,2.238474974,5.1396445989999995,204.64690430000002,208.7952233,3.1099653560000005,1,1,Dove Rita
37,Dove ,Rita,1952.0,0,Midwest,Akron,Ohio,USA,,Miami University of Ohio,University of Iowa (MFA),1,0,0,0,Rita Dove - Shakespeare Say _Wobj.mat,194.744488,1.5833353730000002,3.5144850119999997,1.159817797,1.438776979,115,1.10768638,0.366740512,0.331086957,8.011829931,15.32999219,2.8317674760000004,7.512358882000001,150.4994738,124.1893865,3.1667440510000002,1,1,Dove  Rita
38,Hand,Monica A.,1953.0,0,Northeast,Newark,New Jersey ,USA,,,Drew University (MA or MFA in poetry and translation),0,1,0,0,Black people sure can keep secrets_Wobj.mat,154.4109799,1.416703429,3.70428858,0.986859235,0.977946275,86,0.879210755,0.229974953,0.261569767,6.849600758999999,12.89812874,1.748834236,11.12603107,323.056908,475.8115209,2.794021924,0,1,Hand Monica A.
39,Mullen,Harryette,1953.0,0,West,Florence ,Alabama,USA,"grew up in Fort Worth, Texas",University of Texas at Austin,University of California at Santa Cruz (PhD),0,0,0,0,Dim Lady by Harryette Mullen_Wobj.mat,207.15835019999997,1.249942417,3.707581733,1.034505582,1.326025429,61,0.7538775259999999,0.233578447,0.309836066,5.96130352,14.29224367,2.15989258,4.383334679,215.0647618,265.9242219,2.959488305,1,1,Mullen Harryette
40,Mullen,Harryette,1953.0,0,West,Florence ,Alabama,USA,"grew up in Fort Worth, Texas",University of Texas at Austin,University of California at Santa Cruz (PhD),0,0,0,0,We are Not Responsible_Wobj.mat,205.80590669999998,1.270933995,4.001811629,1.69786262,1.406793866,105,1.007967745,0.322789671,0.320238095,7.50560423,13.709620999999999,2.7543501760000004,5.2418882060000005,185.65237119999998,163.11353180000003,3.7314934589999997,1,1,Mullen Harryette
41,Adisa,Opal Palmer,1954.0,0,Caribbean,Kingston,,Jamaica ,came to US at age 15 and attended high school in NYC.,New York University ,San Francisco State University (Mas in English & drama); University of California–Berkeley (PhD),0,1,0,0,Public Restrooms Prelude_Wobj.mat,210.16549300000003,1.166666351,3.795268809,1.3944132230000001,1.5218582219999999,130,0.9214303429999999,0.281922245,0.30596153800000003,6.968302642,13.079815400000001,2.6720558999999997,4.096043116000001,277.5372651,305.4143923,3.354126037,1,1,Adisa Opal Palmer
42,Adisa,Opal Palmer,1954.0,0,Caribbean,Kingston,,Jamaica ,came to US at age 15 and attended high school in NYC.,New York University ,San Francisco State University (Mas in English & drama); University of California–Berkeley (PhD),0,1,0,0,This Poem Is An Invitation_Wobj.mat,192.54979419999998,0.664573407,3.028768433,0.9879049940000001,1.177284234,29,0.60720268,0.268844221,0.442758621,5.259353603,12.13165318,2.7680808439999995,3.458939734,191.88366100000002,196.8408118,2.7317073169999997,1,1,Adisa Opal Palmer
43,Moss ,Thylias,1954.0,0,Midwest,,Ohio,USA,,Oberlin College (previously attended Syracuse University),,0,1,0,0,All Is Not Lost When Dreams Are_Wobj.mat,168.9610718,1.874999401,3.747313451,1.070900441,1.02321622,205,0.7892355959999999,0.342008508,0.433341463,5.970428398999999,12.87915464,3.0756752360000004,4.776274927,223.6543358,261.65297569999996,3.1026372810000002,1,0,Moss  Thylias
44,Moss ,Thylias,1954.0,0,Midwest,,Ohio,USA,,Oberlin College (previously attended Syracuse University),,0,1,0,0,Sunrise Comes to Second Avenue_Wobj.mat,162.6020767,1.83332728,3.6478029610000005,0.884412657,1.033523696,121,0.731360875,0.33140923,0.453140496,5.535573091,12.30738263,3.085401395,5.645535988,-222.7316497,276.0923309,2.881925064,1,0,Moss  Thylias
45,Hunt,Erica,1955.0,0,Other,Manhattan ,New York,USA,,San Francisco State University (previously attended University of Vermont),Bennington College (MFA),0,1,0,0,The Small Print_Wobj.mat,142.2609635,1.5416434430000001,4.026676988999999,1.9228209019999998,1.73823433,78,1.3807753580000002,0.42441140000000005,0.307371795,9.651973674,14.40627234,4.2897660769999995,6.15720188,159.13146919999997,149.0649343,4.225327695,1,1,Hunt Erica
46,Smith,Patricia,1955.0,0,Midwest,Chicago,Illinois ,USA,,,,0,0,0,0,Skinhead_Wobj.mat,244.25270010000003,1.291616718,3.933676623,1.735816714,1.67772112,238,1.095008052,0.36680469299999996,0.334978992,8.293844552000001,14.91579611,2.374733269,3.73682522,227.9033583,227.69638540000003,3.728736885,0,0,Smith Patricia
47,Finney ,Nikky,1957.0,0,South,Conway,South Carolina,USA,,Talladega College,Atlanta University ,0,1,0,1,Girlfriend_s Train_Wobj.mat,245.80658730000002,1.708303509,3.2502243560000004,1.545675796,1.860385676,149,0.888120641,0.254127675,0.28614094,6.855129611000001,14.36726581,1.9714098230000001,4.055845121,200.1144655,195.76333469999997,3.261938339,1,1,Finney  Nikky
48,Finney ,Nikky,1957.0,0,South,Conway,South Carolina,USA,,Talladega College,Atlanta University ,0,1,0,1,Left_Wobj.mat,220.12638130000002,0.749964307,3.41327888,0.832969677,0.9097596729999999,189,0.752688172,0.250796495,0.333201058,5.7835897,11.71141733,2.083336075,3.6514163369999997,204.5392078,210.5808591,2.576073571,1,1,Finney  Nikky
49,Strange,Sharan,1959.0,0,South,Orangeburg,South Carolina,USA,,,Sarah Lawrence College (MFA),0,1,0,0,Unforgettable_Wobj.mat,167.1796236,2.624997669,4.117336925,1.007139963,1.12655157,137,0.586673518,0.10510877,0.17916058399999998,4.715989921,15.96879228,0.896702309,7.471509178,197.868525,262.6925551,2.9120740410000003,0,1,Strange Sharan
50,Alexander,Elizabeth ,1962.0,0,Northeast,Harlem,New York,USA,"grew up in Washington, D.C. ",Yale University ,Boston University (MA); University of Pennsylvania (PhD),0,1,1,0,Venus Hottentot_Wobj.mat,174.439215,1.041616598,3.59091599,1.104558961,1.077948538,217,0.692450061,0.252504946,0.36465437799999995,5.51723236,13.59924292,2.288253052,3.513307483,-205.45926359999999,210.1772861,2.98356866,1,1,Alexander Elizabeth 
51,Alexander ,Elizabeth ,1962.0,0,Northeast,Harlem,New York,USA,"grew up in Washington, D.C. ",,,0,0,0,0,Praise Song for the Day_Wobj.mat,220.0459813,1.562614367,3.728612773,1.087439789,1.146318303,216,0.87746024,0.43988788,0.501319444,6.616890306,11.26722843,3.039337174,4.012888744,181.9373835,212.5777881,3.045041683,0,0,Alexander  Elizabeth 
52,Francis,Vievee,1963.0,1,Other,,,,,Fisk University ,University of Michigan (MFA),0,1,0,1,Paradise_Wobj.mat,192.6660675,0.89566466,3.3689967569999997,1.106180704,1.054963637,50,0.8624407070000001,0.330746011,0.3835,6.5201364139999995,12.21016673,3.725792237,6.977299972999999,272.46365860000003,197.3031618,3.1035357999999995,1,1,Francis Vievee
53,Francis,Vievee,1963.0,1,Other,,,,,Fisk University ,University of Michigan (MFA),0,1,0,1,Parched_Wobj.mat,188.875439,0.791690846,3.353188207,1.112360097,1.126852723,100,0.8852299379999999,0.339574204,0.3836,6.657607404,13.56661678,3.20077279,6.494756516,275.25863169999997,192.8107446,3.06903957,1,1,Francis Vievee
54,Rankine ,Claudia,1963.0,0,Caribbean,Kingston,,Jamaica ,,Williams College ,Columbia University,0,1,1,0,Citizen excerpt_Wobj.mat,145.2764648,0.791730376,3.194227148,0.897005836,1.191887401,258,0.9536658840000001,0.33649989799999996,0.352848837,7.119595628,13.71590295,2.557242511,3.246838827,129.9527257,106.8499189,2.7233361769999997,1,1,Rankine  Claudia
55,Rankine ,Claudia,1963.0,0,Caribbean,Kingston,,Jamaica ,,Williams College ,Columbia University,0,1,1,0,Don_t Let Me Be Lonely Part 2_Wobj.mat,175.97877119999998,0.396006921,2.3602401719999997,0.931680033,0.975569523,43,0.590334981,0.3460324,0.586162791,4.461794695,13.85440338,2.563158654,2.68936429,107.1365969,77.07411295,2.510948689,1,1,Rankine  Claudia
56,Lewis,Robin Coste,1964.0,1,West,Compton ,California,USA,moved to nearby and newly incorporated Carson when she was five,Hampshire College (previously spent some time at NYU),Harvard (MA in Theological Studies in Sanskirt); New York University (MFA),0,1,1,0,Reason by Robin Coste Lewis_Wobj.mat,103.3306793,1.2083091540000002,3.016036549,0.7879508590000001,0.795226042,59,0.9131713359999999,0.39514007100000004,0.432711864,7.080885072999999,13.56221238,3.9103395180000002,3.4619027680000003,123.0823874,105.2717154,2.787956336,1,1,Lewis Robin Coste
57,Lewis,Robin Coste,1964.0,1,West,Compton ,California,USA,moved to nearby and newly incorporated Carson when she was five,Hampshire College (previously spent some time at NYU),Harvard (MA in Theological Studies in Sanskirt); New York University (MFA),0,1,1,0,Self-Portrait as the Bootblack in Daguerres Boulevard du Temple_Wobj.mat,88.1139739,1.2083091540000002,2.8031121860000003,0.462126395,0.48968270799999997,80,0.8932559179999999,0.333240286,0.3730625,6.862047584,12.7030506,4.89019483,2.424112355,148.72511310000002,165.6435085,2.555168915,1,1,Lewis Robin Coste
58,Shockley,Evie,1965.0,1,South,Nashville ,Tennessee ,USA,,Northwestern University,University of Michigan (law degree); Duke University (PhD),0,1,0,0,philosophically immune_Wobj.mat,191.1912037,1.3542665130000002,4.08806367,1.5337768,1.674024729,101,0.955986749,0.22806436300000002,0.238564356,7.206993435,16.78668162,2.31167714,3.24195167,197.02429650000002,246.1611477,3.650580648,1,1,Shockley Evie
59,Shockley,Evie,1965.0,1,South,Nashville ,Tennessee ,USA,,Northwestern University,University of Michigan (law degree); Duke University (PhD),0,1,0,0,question marks_Wobj.mat,181.4666683,1.1042619340000002,3.6870572289999997,1.075764994,1.198303156,94,0.944628681,0.35398452399999997,0.37473404299999996,7.3186515860000005,13.79813977,2.726556473,3.0455891680000002,168.020227,203.5366624,3.0661012000000003,1,1,Shockley Evie
60,Kocher ,Ruth Ellen,1965.0,1,Northeast,Wilkes-Barre,Pennsylvania,USA,,Pennsylvania State University ,Arizona State University (MFA); Arizona State University (PhD) ,0,0,0,0,gigans_iii_Wobj.mat,165.2872135,1.608467849,3.2274303489999996,0.604422407,0.63257823,64,0.673365248,0.35704140100000004,0.530234375,5.159381867,12.47089353,3.06571966,3.9127056610000004,-257.93069069999996,292.7540155,2.5022810580000003,1,1,Kocher  Ruth Ellen
