file,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism
Rita Dove - Shakespeare Say _Wobj.mat,194.744488,1.583335373,3.514485012,1.159817797,1.438776979,115,1.10768638,0.366740512,0.331086957,8.011829931,15.32999219,2.831767476,7.512358882,150.4994738,124.1893865,3.166744051
Self Portrait With A Yellow Dress_Wobj.mat,241.1106591,0.687604327,3.045294895,1.244961037,1.504513276,61,0.497107,0.265504034,0.534098361,4.159278324,11.34548068,2.852076565,5.748076778,226.3136234,222.1205076,2.956142165
Self-Portrait as the Bootblack in Daguerres Boulevard du Temple_Wobj.mat,88.1139739,1.208309154,2.803112186,0.462126395,0.489682708,80,0.893255918,0.333240286,0.3730625,6.862047584,12.7030506,4.89019483,2.424112355,148.7251131,165.6435085,2.555168915
Sista girlfriend_Wobj.mat,248.6667306,1.395988791,4.152316077,1.523867236,1.551131818,354,1.133217024,0.33687597,0.297274011,8.210572569,15.10542607,2.498869912,6.439581626,209.6751473,211.9146272,3.628012316
Skinhead_Wobj.mat,244.2527001,1.291616718,3.933676623,1.735816714,1.67772112,238,1.095008052,0.366804693,0.334978992,8.293844552,14.91579611,2.374733269,3.73682522,227.9033583,227.6963854,3.728736885
Some Creek_Wobj.mat,161.0351036,0.375085717,2.332039656,0.535488243,0.563745607,36,0.64142539,0.236792873,0.369166667,5.153624824,11.20863011,2.996293503,2.142543299,229.8203364,284.0552785,2.111012881
Sometimes the Way It Rains Reminds Me of You_Wobj.mat,171.2218384,1.020718872,3.276528608,1.546794674,1.621531732,71,0.758061072,0.339312407,0.447605634,5.9855349,13.36634753,2.727585524,2.21896266,184.4761705,148.6632307,3.357982104
Song in the Front Yard_Wobj.mat,171.391902,1.729306297,4.083780863,2.211551845,1.779027948,48,0.779790431,0.31825197,0.408125,6.069913608,14.31926392,3.310861968,3.149158593,128.6573738,110.7586718,4.341653048
Song of the Law Abiding Citizen June Jordan online-audio-converter.com_Wobj.mat,196.844175,2.416670687,4.006622913,1.354415677,1.413622885,81,0.799920995,0.157021529,0.196296296,5.933398669,15.21626728,2.613520842,3.708518248,146.5089722,179.5590191,3.452271999
Sound - Part 4 Notes on Polyphony_Wobj.mat,109.7992775,1.958347775,2.509382448,0.426830092,0.526020255,139,0.924693986,0.184040713,0.199028777,6.828072618,14.44566102,0.841139381,13.71803003,403.3621369,678.7547442,1.831020479
Speak The Truth To The People by Mari Evans_Wobj.mat,188.5414742,2.333328314,3.732796824,1.022987896,1.288058319,134,0.797097139,0.336476117,0.422126866,6.127029219,13.38307494,3.175321712,6.244559045,229.8002603,281.604453,3.089993232
Still I Rise_Wobj.mat,119.7049782,1.729335235,4.146149138,1.428353997,1.839426954,119,0.690175154,0.371331632,0.53802521,5.463854338,11.49927422,3.322023437,4.149837264,178.8560916,185.9258993,3.538121654
Summer Words of a Situh Addict_Wobj.mat,179.2292743,2.166661892,3.043967255,0.624192366,0.594664402,37,0.647532377,0.145869793,0.22527027,5.661560546,17.45446064,1.17949178,11.13875246,240.481112,335.1362762,2.342275741
Sunrise Comes to Second Avenue_Wobj.mat,162.6020767,1.83332728,3.647802961,0.884412657,1.033523696,121,0.731360875,0.33140923,0.453140496,5.535573091,12.30738263,3.085401395,5.645535988,-222.7316497,276.0923309,2.881925064
Sweet Song_Wobj.mat,129.4634369,2.499994666,4.169721039,0.737364299,0.854822834,149,0.600854908,0.110593596,0.184060403,4.717411911,13.45697252,4.277120133,4.365204559,-245.5985226,355.003109,3.144653769
Switch_Wobj.mat,247.8002152,1.25000459,4.056377969,1.944898426,1.656501121,74,0.996632997,0.354814815,0.356013514,7.558548711,14.15861284,3.452670399,4.265234837,176.0479676,189.5123089,4.106613984
Thanksgiving_Wobj.mat,162.1561818,1.166682577,3.673056696,1.348926068,1.771209575,93,0.668391548,0.331392842,0.495806452,5.305365427,14.28032,1.909931554,4.448442006,214.9368876,228.106045,3.195245094
The Ayes Have It_Wobj.mat,200.8544617,1.271034104,2.90242622,1.03430525,0.958098315,175,0.825354903,0.283332547,0.343285714,6.379783068,15.46363798,2.428667418,2.77318805,168.8809084,160.5027369,2.80646079
The Black Unicorn_Wobj.mat,194.7010372,1,3.602502938,0.959641819,1.011845131,47,0.669658759,0.356130227,0.531808511,5.495902466,12.00039304,2.453527887,5.898216407,214.9356418,241.2217655,2.821061413
The Body Is Not An Apology_Wobj.mat,289.4820376,2.041664597,3.785522865,1.684898589,1.573974867,285,1.415902824,0.284273542,0.20077193,9.955315279,16.92552476,2.20384842,4.165487681,211.1402437,240.8219242,3.685568482
The History of Black People_Wobj.mat,186.4264743,0.708396846,2.986493482,0.768517906,0.819563381,98,0.708527636,0.311643712,0.439846939,5.760620274,11.16417631,2.240241218,3.406223626,234.6842719,230.5788095,2.394134192
The Small Print_Wobj.mat,142.2609635,1.541643443,4.026676989,1.922820902,1.73823433,78,1.380775358,0.4244114,0.307371795,9.651973674,14.40627234,4.289766077,6.15720188,159.1314692,149.0649343,4.225327695
Things that will not forget us_Wobj.mat,186.4772117,0.479363759,2.385561022,0.552474185,0.702341974,65,0.837413038,0.26765009,0.319615385,6.636074834,14.05234942,3.22836073,4.054529837,214.5222935,228.5390348,2.288838709
Thirst Behavior_Wobj.mat,251.8933924,0.916643384,3.552754297,1.425761784,1.662102506,133,0.871902452,0.245640488,0.281729323,6.494129559,12.43203907,2.050777756,2.855551291,124.4574558,114.9124406,3.182706908
Thirteen_Wobj.mat,307.1679809,1.500048073,3.615496045,2.026668434,1.900884757,256,1.466754519,0.32881657,0.224179688,10.37557242,15.5426498,2.896513967,5.866237086,202.130391,195.0093136,4.009622559
This Poem Is An Invitation_Wobj.mat,192.5497942,0.664573407,3.028768433,0.987904994,1.177284234,29,0.60720268,0.268844221,0.442758621,5.259353603,12.13165318,2.768080844,3.458939734,191.883661,196.8408118,2.731707317
Thompson and Seaman Vows African Union Church_Wobj.mat,148.2103123,2.291652669,4.132796698,0.991115895,1.141798784,99,0.771328399,0.296727698,0.38469697,6.048351443,13.42667206,2.795936044,7.383221598,-367.9932141,567.2212376,3.119792665
To Make Use of Water_Wobj.mat,216.3206209,0.666624721,2.988472049,1.497490786,1.382057396,71,0.676383729,0.285081452,0.421478873,5.128991963,13.56973483,2.393529583,4.885711705,237.669642,205.0431173,3.178815714
Unforgettable_Wobj.mat,167.1796236,2.624997669,4.117336925,1.007139963,1.12655157,137,0.586673518,0.10510877,0.179160584,4.715989921,15.96879228,0.896702309,7.471509178,197.868525,262.6925551,2.912074041
Unsolicited Advice_Wobj.mat,341.208945,0.999964257,2.815208379,0.539636417,0.56178374,196,0.948991696,0.259665432,0.273622449,6.941713425,7.387932623,3.155324284,5.837672266,299.9179689,420.9283939,2.141303718
Venus Hottentot_Wobj.mat,174.439215,1.041616598,3.59091599,1.104558961,1.077948538,217,0.692450061,0.252504946,0.364654378,5.51723236,13.59924292,2.288253052,3.513307483,-205.4592636,210.1772861,2.98356866
